asset,group,driver,lookback,horizon,tradeable,n,ic,nw_t,p_null,hit,ic_h1,ic_h2,stable,qspread_bp
NZDUSD,fx,slope,5,0,0,5200,0.06322820899623093,2.0472351411416185,0.0065,0.46326923076923077,0.11180399402627855,0.0012737583232282092,0,
NZDUSD,fx,slope,5,1,1,5198,-0.007483067350839945,-0.8165141230431229,,0.47941515967679876,-0.020129170213075906,0.009258291364566476,0,3.191244605649075
NZDUSD,fx,slope,5,5,1,5194,-0.018716901453166464,-1.4811411812163284,,0.48190219484020025,0.005232015355251938,-0.052853613176344835,0,20.84172864226037
NZDUSD,fx,slope,5,21,1,5178,-0.015702421814946712,-1.2785054921928327,,0.47837002703746623,-0.025161544293254068,-0.008984424664489777,0,48.202444214705764
NZDUSD,fx,slope,21,0,0,5184,0.03470962854974421,-0.4072686673121687,0.4765,0.46489197530864196,0.03591323814680618,0.037606156891235934,1,
NZDUSD,fx,slope,21,1,1,5182,-0.007380668661988776,-1.120789999395662,,0.4888074102663064,-0.02271333696400023,0.013268053145790642,0,2.0456932222769257
NZDUSD,fx,slope,21,5,1,5178,-0.006829335101649,-1.434944786291088,,0.48725376593279257,-0.013499719325421551,0.00040707689686007826,0,10.679896289687411
NZDUSD,fx,slope,21,21,1,5162,0.014379259132623109,-0.05216189242575464,,0.4903138318481209,-0.025420317821190648,0.06099805602865255,0,-16.401655878981654
NZDUSD,fx,real10,1,0,0,5204,-0.08322268881926505,-3.922277967475916,0.0,0.4642582628747118,-0.014193949342401195,-0.16620342286153778,0,
NZDUSD,fx,real10,1,1,1,5202,-0.025188237384190328,0.18754727386154693,0.0615,0.4429065743944637,-0.0060689284264078365,-0.047766937486082676,0,1.9876090757622034
NZDUSD,fx,real10,1,5,1,5198,-0.010839668041774268,-0.10993202344042813,,0.4351673720661793,0.008274438699199426,-0.034599058161830704,0,1.550524041840584
NZDUSD,fx,real10,1,21,1,5182,-0.012102451138855257,-0.9897003778313851,,0.4403705133153223,-0.005912279184430378,-0.01743025451760476,0,14.691313704799711
NZDUSD,fx,real10,5,0,0,5200,-0.1629636548188441,-5.139819545990339,0.0,0.5409615384615385,-0.0726942119475418,-0.27359078607732,1,
