asset,group,driver,lookback,horizon,tradeable,base_rate,hit_raw,chance_agree,p_up_yields_fell,p_up_yields_rose,spread,p_null,spread_h1,spread_h2,n,stable
USDJPY,fx,y10,5,5,1,0.5287755890305137,0.47508690614136734,0.4994109284593985,0.5244479495268138,0.5322314049586777,-0.007783455431863873,0.708,-0.021676669646277624,0.012893999716745097,5178,0
USDJPY,fx,y10,5,21,1,0.5278961642774118,0.47268500581170086,0.49945958612403313,0.5215329909126827,0.5344398340248963,-0.012906843112213573,0.63,-0.03499497068854418,0.01893842074151375,5162,0
USDJPY,fx,y10,21,0,0,0.5278637770897833,0.30727554179566563,0.49938535785831356,0.3423031262366442,0.7150157232704403,-0.37271259703379606,0.0,-0.3960311280162129,-0.3370260535614866,5168,1
USDJPY,fx,y10,21,1,1,0.5205187766163376,0.4878048780487805,0.4995472046972005,0.5197941409342834,0.5218246165945734,-0.00203047566028991,0.873,-0.010790063998481259,0.011111869255476914,5166,0
USDJPY,fx,y10,21,5,1,0.5290585044556374,0.4969004261913987,0.49938077576712125,0.5356294536817102,0.5214651437573848,0.01416430992432538,0.565,0.005770963140905361,0.03488707571140781,5162,0
USDJPY,fx,y10,21,21,1,0.5264282938204431,0.4984453944811504,0.4995172445357323,0.5344418052256532,0.5180340864050733,0.016407718820579897,0.636,0.013530295644989254,0.03807600696246982,5146,0
USDJPY,fx,y30,1,0,0,0.520431765612953,0.3510023130300694,0.4978260727412587,0.4214840379637619,0.6217061188030371,-0.20022208083927517,0.0,-0.17526658995013422,-0.22429206958303338,5188,1
USDJPY,fx,y30,1,1,1,0.5204396451986116,0.4473582722715002,0.4978322782762753,0.5323554788610871,0.5138516532618409,0.018503825599246237,0.211,0.008599923283467592,0.02967222345453613,5186,0
USDJPY,fx,y30,1,5,1,0.5287533770744887,0.4423002701659591,0.4969482135486359,0.5362694300518135,0.5295169946332737,0.0067524354185397595,0.6315,-0.004743255539433888,0.021010283711086486,5182,0
USDJPY,fx,y30,1,21,1,0.5276809910956253,0.4357336430507162,0.49704221697932927,0.5227568270481144,0.5304932735426009,-0.00773644649448646,0.549,-0.027643435910430947,0.016480745314374712,5166,0
USDJPY,fx,y30,5,0,0,0.5289351851851852,0.3298611111111111,0.4994753265032007,0.37524557956778,0.6865733113673805,-0.31132773179960055,0.0,-0.3213481578508842,-0.29669265265682854,5184,1
USDJPY,fx,y30,5,1,1,0.5204554226167503,0.4828251640293323,0.4996289444758829,0.52437106918239,0.5170992995467656,0.00727176963562437,0.5815,0.017330623726640015,-0.0003783549647999873,5182,0
USDJPY,fx,y30,5,5,1,0.5287755890305137,0.47856315179606024,0.4994887303609874,0.5289028706252458,0.5313531353135313,-0.002450264688285575,0.9065,-0.0006356925164360816,0.0016268193916870732,5178,0
USDJPY,fx,y30,5,21,1,0.5278961642774118,0.4695854320030996,0.4995460523441878,0.5179204411185506,0.5393864013266998,-0.02146596020814917,0.407,-0.029608988728939967,-0.005358740853819044,5162,0
USDJPY,fx,y30,21,0,0,0.5278637770897833,0.32759287925696595,0.498878547671309,0.3580645161290323,0.6888974556669236,-0.33083293953789134,0.0,-0.3331236017897092,-0.3171852082538024,5168,1
USDJPY,fx,y30,21,1,1,0.5205187766163376,0.4883855981416957,0.49918179094406395,0.521774193548387,0.5223765432098766,-0.0006023496614895318,0.9595,0.004023854504018209,-0.0010009198660916319,5166,0
