date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2026-06-12,call,0.7968127490039841,2026-06-12 18:59:00,0.7967,-0.00025103552152627717,reject,5.020710430536646e-05,reject,,,,
2026-06-17,call,0.7968127490039841,2026-06-17 18:01:00,0.79498,0.0018365241892877027,reject,0.0029937860071951317,break,0.005937256283176762,break,,
2026-06-17,call,0.7968127490039841,2026-06-17 18:08:00,0.7966,-0.0009540547326135629,reject,0.0026864172734120118,break,0.003916645744413749,break,,
2026-06-17,call,0.7968127490039841,2026-06-17 18:27:00,0.79646,-0.0008788890841975316,reject,0.004733445496321265,break,0.004243778720839808,break,,
2026-06-17,call,0.7968127490039841,2026-06-17 18:32:00,0.79596,-0.0008543142871501042,reject,0.00587969244685671,break,0.004824363033318235,break,,
2026-06-17,call,0.7968127490039841,2026-06-17 18:55:00,0.79681,0.0028990600017571033,break,0.004555665717046686,break,0.0036018624264253507,break,,
2026-08-20,call,0.7968127490039841,2026-08-20 10:53:00,0.79658,0.0006653443470838738,break,0.002485626051369705,break,0.0021592307112907605,break,,
2020-11-05,put,0.9049773755656109,2020-11-05 12:59:00,0.90514,-0.0005413527189164213,break,0.000530304704244644,reject,0.001358905804627053,reject,,
2020-11-05,put,0.9049773755656109,2020-11-05 13:33:00,0.90506,0.0007513314034428564,reject,0.0012595849998895403,reject,0.0019004264910613688,reject,,
2020-11-05,put,0.9049773755656109,2020-11-05 13:46:00,0.90522,0.0006738693356311831,reject,0.001193080135215796,reject,0.0011599390203487214,reject,,
2020-11-05,put,0.9049773755656109,2020-11-05 19:09:00,0.9052,2.209456473711846e-05,reject,-0.0004197967300044736,break,,,,
2020-11-05,put,0.9049773755656109,2020-11-05 19:22:00,0.90508,-0.00012153621779287249,break,-0.0003314624121624199,break,,,,
2020-11-06,put,0.9049773755656109,2020-11-06 01:17:00,0.90511,0.00018782247461635038,reject,-0.0012926605605948494,break,-0.0016020152246687402,break,,
2020-11-06,put,0.9049773755656109,2020-11-06 01:41:00,0.90514,-0.0005082086749009784,break,-0.0013036657312680555,break,-0.0014583379366727156,break,,
2020-11-11,put,0.9174311926605504,2020-11-11 09:56:00,0.91764,-8.718015779607402e-05,reject,0.0006538511834706107,reject,0.00017436031559214804,reject,,
2020-11-11,put,0.9174311926605504,2020-11-11 11:04:00,0.91742,0.0007303089097685511,reject,0.0006976085108238994,reject,0.0010682130321990613,reject,,
2020-11-11,put,0.9174311926605504,2020-11-11 12:26:00,0.91752,0.0002179788996425902,reject,-0.0005231493591421055,break,0.00041415990932081037,reject,,
2020-11-11,put,0.9174311926605504,2020-11-11 15:35:00,0.91769,0.0009262387080604118,reject,0.00027242314942954593,reject,-0.0004903616689730939,break,,
2020-11-11,put,0.9174311926605504,2020-11-11 17:31:00,0.91762,-0.0002833416882805917,break,-0.0006320699200105251,break,,,,
2021-02-01,put,0.8928571428571428,2021-02-01 08:38:00,0.89306,0.0015452489194456298,reject,0.001522854007569574,reject,0.0024634403063623633,reject,,
2021-07-01,put,0.9259259259259258,2021-07-01 08:02:00,0.9263,0.000259095325488623,reject,0.0006477383137211135,reject,-0.001273885350318471,break,,
2021-07-01,put,0.9259259259259258,2021-07-01 08:21:00,0.92612,0.0007990325227831274,reject,8.638189435483667e-05,reject,-0.0014253012568566925,break,,
2021-07-01,put,0.9259259259259258,2021-07-01 09:22:00,0.92596,-0.00039958529526107345,break,-0.0004967817184328149,break,-0.0018575316428356414,break,,
2021-07-01,put,0.9259259259259258,2021-07-01 19:12:00,0.92608,-0.0001295784381478704,reject,-0.0005075155494125294,break,,,,
2021-07-02,put,0.9259259259259258,2021-07-02 03:24:00,0.92618,-1.0797037292897826e-05,reject,-0.0001295644475156621,reject,-0.00038869334254687526,break,,
2021-07-02,put,0.9259259259259258,2021-07-02 08:32:00,0.92618,2.1594074586017697e-05,reject,0.0001943466712732711,reject,-0.0028612148826362427,break,,
2021-07-02,put,0.9259259259259258,2021-07-02 10:33:00,0.92617,-0.0006802206938251176,break,-0.0009933381560620624,break,-0.002364576697582499,break,,
2021-07-07,put,0.9259259259259258,2021-07-07 14:37:00,0.92634,-0.001014746205496908,break,-0.000885204136710116,break,-0.0015437096530431793,break,,
2021-07-07,put,0.9259259259259258,2021-07-07 14:46:00,0.926,-0.0008207343412528489,break,-0.0004535637149029048,break,-0.0011447084233261462,break,,
2022-01-27,put,0.9302325581395349,2022-01-27 12:00:00,0.9305,-0.0005158516926384582,break,0.0005910800644814973,reject,0.0007952713594840954,reject,,
2022-01-27,put,0.9302325581395349,2022-01-27 12:41:00,0.93032,0.0005589474589389187,reject,0.0013543726889670982,reject,0.0009244131051679982,reject,,
2022-01-27,put,0.9302325581395349,2022-01-27 13:18:00,0.93044,0.0008705558660417889,reject,0.0017841021452216221,reject,0.0009780318988865666,reject,,
2022-01-27,put,0.9302325581395349,2022-01-27 14:41:00,0.9305,-0.0001719505642128194,reject,0.0028801719505642254,reject,0.0007522837184310571,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 02:26:00,0.93039,-2.1496361740758196e-05,reject,-3.224454261130383e-05,reject,0.0012575371618352982,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 09:02:00,0.93065,0.0006124751517757598,reject,0.00037608123354648804,reject,0.0024176650727985027,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 13:37:00,0.9303,0.00044071804794154623,reject,0.0009459314199720126,reject,0.00042996882725998553,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 13:54:00,0.93043,0.0005051427834441569,reject,-0.001300473974398808,break,0.0006126199714111547,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 14:49:00,0.93038,-4.2993185580098014e-05,reject,-0.00010748296395024504,reject,0.0006341494873063347,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 15:46:00,0.93067,-0.0006124619897492911,break,-0.0007628912503895302,break,7.521463032000852e-05,reject,,
2022-01-28,put,0.9302325581395349,2022-01-28 16:12:00,0.93033,0.00015048423677632705,reject,-0.0005051970806058126,break,0.0006986768136039156,reject,,
2022-01-31,put,0.9302325581395349,2022-01-31 13:45:00,0.93029,-0.000655709509937763,break,-0.00018273871588425639,break,-0.00015049070719874713,break,,
2022-01-31,put,0.9302325581395349,2022-01-31 14:28:00,0.9304,-0.00034393809114352525,break,-8.598452278585356e-05,reject,-0.00313843508168532,break,,
2022-01-31,put,0.9302325581395349,2022-01-31 15:07:00,0.93044,8.598082627564452e-05,reject,0.0006018657839301778,reject,-0.003847641975839422,break,,
2022-01-31,put,0.9302325581395349,2022-01-31 16:09:00,0.93064,-0.00018266999054417088,reject,-0.0006232270265623674,break,-0.0051147597352360075,break,,
2022-01-31,put,0.9302325581395349,2022-01-31 16:15:00,0.93043,0.00011822490676349773,reject,-0.0005051427834441569,break,-0.004890212052491849,break,,
2022-04-19,put,0.9478672985781991,2022-04-19 11:49:00,0.94807,-0.0012129906019597847,break,-0.0037655447382576313,break,0.000854367293554148,reject,,
2022-04-19,put,0.9478672985781991,2022-04-19 15:59:00,0.9482,0.0009175279476902887,reject,0.001223370596920459,reject,0.0036173802995147497,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 08:57:00,0.94811,0.00032696628028405783,reject,-0.000284777082827925,break,0.00020039868791599247,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 09:29:00,0.94816,-0.0007171785352683147,break,-0.00024257509281133682,reject,0.0003585892676341018,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 12:55:00,0.94806,0.0002531485349028806,reject,-0.00013712212307237515,reject,0.00043246208045899515,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 13:00:00,0.94816,0.0007804589942626006,reject,-0.0006749915626054204,break,0.0009492068849139557,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 13:10:00,0.9483,-0.00010545186122534744,reject,-0.0017505008963407676,break,0.0003374459559211118,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 13:47:00,0.94795,-0.0006223956959755528,break,-0.000706788332717867,break,0.0003481196265626707,reject,,
2022-04-20,put,0.9478672985781991,2022-04-20 18:02:00,0.948,0.00012658227848105774,reject,0.0008438818565401629,reject,0.0015295358649789481,reject,,
2022-04-21,put,0.9478672985781991,2022-04-21 06:52:00,0.94786,0.0005697043867236573,reject,-0.0009917076361488641,break,0.00028485219336182865,reject,,
