zlb,cls,h,outcome,pred,demean,t,r,n_dates,mde_r,abs_t
252,FX,10,ret,vrp_trail20,False,-0.09531766364890987,-0.005877437413000136,265,0.17200263271350633,0.09531766364890987
252,FX,10,ret,convexity,False,-0.08996783840216238,-0.005526595978184476,267,0.17135721718138927,0.08996783840216238
126,FX,10,ret,convexity,False,-0.08996783840216238,-0.005526595978184476,267,0.17135721718138927,0.08996783840216238
126,all,5,ret,skew_ratio,False,-0.08069130664534528,-0.0034951071214174736,535,0.12105455632679274,0.08069130664534528
252,all,5,ret,skew_ratio,False,-0.08069130664534528,-0.0034951071214174736,535,0.12105455632679274,0.08069130664534528
126,all,5,ret,updn,False,-0.08064525207972277,-0.0034931123132734975,535,0.12105455632679274,0.08064525207972277
252,all,5,ret,updn,False,-0.08064525207972277,-0.0034931123132734975,535,0.12105455632679274,0.08064525207972277
126,gold,10,rng,convexity,False,-0.0706855134146534,-0.004342135637952668,267,0.17135721718138927,0.0706855134146534
252,gold,10,rng,convexity,False,-0.0706855134146534,-0.004342135637952668,267,0.17135721718138927,0.0706855134146534
126,all,10,rng,cvol_z,False,-0.07028046079519219,-0.004427209500185293,254,0.17568762543868438,0.07028046079519219
126,all,21,rng,skew_ratio,False,-0.06715918530711598,-0.0060067917763047965,127,0.24845982263651187,0.06715918530711598
252,all,21,rng,skew_ratio,False,-0.06715918530711598,-0.0060067917763047965,127,0.24845982263651187,0.06715918530711598
126,all,21,rng,updn,False,-0.06702849074733698,-0.005995102730942979,127,0.24845982263651187,0.06702849074733698
252,all,21,rng,updn,False,-0.06702849074733698,-0.005995102730942979,127,0.24845982263651187,0.06702849074733698
252,all,10,ret,skew_ratio,False,-0.04345262349879631,-0.002669263933630008,267,0.17135721718138927,0.04345262349879631
126,all,10,ret,skew_ratio,False,-0.04345262349879631,-0.002669263933630008,267,0.17135721718138927,0.04345262349879631
126,all,10,ret,updn,False,-0.04341059815838624,-0.002666682365054257,267,0.17135721718138927,0.04341059815838624
252,all,10,ret,updn,False,-0.04341059815838624,-0.002666682365054257,267,0.17135721718138927,0.04341059815838624
252,FX,5,ret,cvol_z,False,-0.037455045540028105,-0.0017060280927559716,484,0.12727272727272726,0.037455045540028105
126,FX,21,ret,skew,False,-0.03339218725921185,-0.002986674704164525,127,0.24845982263651187,0.03339218725921185
252,FX,21,ret,skew,False,-0.03339218725921185,-0.002986674704164525,127,0.24845982263651187,0.03339218725921185
126,all,21,ret,cvol_chg5,True,-0.03186243171774946,-0.0028613191228947068,126,0.2494438257849294,0.03186243171774946
252,all,21,ret,cvol_chg5,True,-0.03186243171774946,-0.0028613191228947068,126,0.2494438257849294,0.03186243171774946
252,all,5,ret,cvol_z,False,-0.02596135114281666,-0.0011825063145846344,484,0.12727272727272726,0.02596135114281666
252,all,10,rng,cvol_z,False,-0.011307491261013982,-0.0007314206106552068,241,0.18036385539223262,0.011307491261013982
126,FX,10,rng,cvol_z,False,-0.009737417704620225,-0.0006133995431343353,254,0.17568762543868438,0.009737417704620225
252,all,10,rng,skew_ratio,False,-0.0047693034230377,-0.0002929759677733659,267,0.17135721718138927,0.0047693034230377
126,all,10,rng,skew_ratio,False,-0.0047693034230377,-0.0002929759677733659,267,0.17135721718138927,0.0047693034230377
126,all,10,rng,updn,False,-0.004712223765147352,-0.00028946959270817924,267,0.17135721718138927,0.004712223765147352
252,all,10,rng,updn,False,-0.004712223765147352,-0.00028946959270817924,267,0.17135721718138927,0.004712223765147352
126,FX,10,rng,vrp_trail20,False,-0.003988335279935032,-0.0002459312815013457,265,0.17200263271350633,0.003988335279935032
252,FX,10,rng,vrp_trail20,False,-0.003988335279935032,-0.0002459312815013457,265,0.17200263271350633,0.003988335279935032
252,FX,5,ret,convexity,False,0.00983907376457136,0.00042617755410235316,535,0.12105455632679274,0.00983907376457136
126,FX,5,ret,convexity,False,0.00983907376457136,0.00042617755410235316,535,0.12105455632679274,0.00983907376457136
252,FX,21,ret,cvol_z,False,0.019452909395015434,0.0018299727177524862,115,0.2611013463072879,0.019452909395015434
126,FX,21,rng,cvol_chg5,True,0.020561737687886376,0.001846495405951175,126,0.2494438257849294,0.020561737687886376
252,FX,21,rng,cvol_chg5,True,0.020561737687886376,0.001846495405951175,126,0.2494438257849294,0.020561737687886376
252,FX,1,ret,cvol_chg5,False,0.02949449374564652,0.000571015586236136,2670,0.05418790998013285,0.02949449374564652
126,FX,1,ret,cvol_chg5,False,0.02949449374564652,0.000571015586236136,2670,0.05418790998013285,0.02949449374564652
252,FX,10,ret,cvol_z,False,0.032028847977815085,0.0020717695018229827,241,0.18036385539223262,0.032028847977815085
126,all,21,ret,skew_ratio,False,0.04202441403869726,0.0037587513077070624,127,0.24845982263651187,0.04202441403869726
252,all,21,ret,skew_ratio,False,0.04202441403869726,0.0037587513077070624,127,0.24845982263651187,0.04202441403869726
252,all,21,ret,updn,False,0.04206647402698694,0.003762513187620827,127,0.24845982263651187,0.04206647402698694
126,all,21,ret,updn,False,0.04206647402698694,0.003762513187620827,127,0.24845982263651187,0.04206647402698694
252,all,21,rng,convexity,True,0.044201007813762475,0.0039534274302388825,127,0.24845982263651187,0.044201007813762475
126,all,21,rng,convexity,True,0.044201007813762475,0.0039534274302388825,127,0.24845982263651187,0.044201007813762475
252,all,21,rng,cvol_z,False,0.04569848689609756,0.004298912303780365,115,0.2611013463072879,0.04569848689609756
126,FX,21,ret,skew,True,0.06108139718881392,0.005463204720110149,127,0.24845982263651187,0.06108139718881392
252,FX,21,ret,skew,True,0.06108139718881392,0.005463204720110149,127,0.24845982263651187,0.06108139718881392
126,FX,5,rng,cvol_z,False,0.0689878154287664,0.003060825016556106,510,0.12398608397561334,0.0689878154287664
252,all,21,rng,skew,True,0.0882229391215041,0.007890653904948893,127,0.24845982263651187,0.0882229391215041
126,all,21,rng,skew,True,0.0882229391215041,0.007890653904948893,127,0.24845982263651187,0.0882229391215041
252,FX,10,rng,cvol_z,False,0.09678305897126195,0.006260252981060824,241,0.18036385539223262,0.09678305897126195
252,FX,21,rng,cvol_z,False,0.10101531534578954,0.009502292490238644,115,0.2611013463072879,0.10101531534578954
126,all,10,ret,convexity,True,0.12409982769572644,0.007623170304085831,267,0.17135721718138927,0.12409982769572644
252,all,10,ret,convexity,True,0.12409982769572644,0.007623170304085831,267,0.17135721718138927,0.12409982769572644
252,all,21,ret,skew_ratio,True,0.13689396111131458,0.012243250392635713,127,0.24845982263651187,0.13689396111131458
126,all,21,ret,skew_ratio,True,0.13689396111131458,0.012243250392635713,127,0.24845982263651187,0.13689396111131458
252,all,21,ret,updn,True,0.13693056907720352,0.012246523972260174,127,0.24845982263651187,0.13693056907720352
126,all,21,ret,updn,True,0.13693056907720352,0.012246523972260174,127,0.24845982263651187,0.13693056907720352
126,gold,10,rng,cvol_z,False,0.14030472285177317,0.008838021580310149,254,0.17568762543868438,0.14030472285177317
126,gold,21,rng,convexity,False,0.15715004388598805,0.014054538929178077,127,0.24845982263651187,0.15715004388598805
252,gold,21,rng,convexity,False,0.15715004388598805,0.014054538929178077,127,0.24845982263651187,0.15715004388598805
126,all,5,ret,convexity,False,0.16586940305376413,0.007184415954622751,535,0.12105455632679274,0.16586940305376413
252,all,5,ret,convexity,False,0.16586940305376413,0.007184415954622751,535,0.12105455632679274,0.16586940305376413
126,all,21,ret,skew,True,0.16990580203229427,0.015195082420488688,127,0.24845982263651187,0.16990580203229427
252,all,21,ret,skew,True,0.16990580203229427,0.015195082420488688,127,0.24845982263651187,0.16990580203229427
252,all,21,ret,skew,False,0.17703317433661014,0.01583234381817349,127,0.24845982263651187,0.17703317433661014
126,all,21,ret,skew,False,0.17703317433661014,0.01583234381817349,127,0.24845982263651187,0.17703317433661014
252,FX,10,rng,convexity,False,0.18462667793397683,0.011340797307998265,267,0.17135721718138927,0.18462667793397683
126,FX,10,rng,convexity,False,0.18462667793397683,0.011340797307998265,267,0.17135721718138927,0.18462667793397683
126,gold,21,rng,skew_ratio,False,0.19232621746773942,0.017199635217811475,127,0.24845982263651187,0.19232621746773942
252,gold,21,rng,skew_ratio,False,0.19232621746773942,0.017199635217811475,127,0.24845982263651187,0.19232621746773942
126,gold,21,rng,updn,False,0.19270784370750843,0.017233753730912186,127,0.24845982263651187,0.19270784370750843
252,gold,21,rng,updn,False,0.19270784370750843,0.017233753730912186,127,0.24845982263651187,0.19270784370750843
126,all,10,ret,convexity,False,0.24084779985034574,0.014793543693436698,267,0.17135721718138927,0.24084779985034574
252,all,10,ret,convexity,False,0.24084779985034574,0.014793543693436698,267,0.17135721718138927,0.24084779985034574
126,FX,21,ret,cvol_chg5,False,0.24164071417276625,0.021694869389092816,126,0.2494438257849294,0.24164071417276625
252,FX,21,ret,cvol_chg5,False,0.24164071417276625,0.021694869389092816,126,0.2494438257849294,0.24164071417276625
252,FX,21,ret,convexity,True,0.2511638664632707,0.02245911269228998,127,0.24845982263651187,0.2511638664632707
126,FX,21,ret,convexity,True,0.2511638664632707,0.02245911269228998,127,0.24845982263651187,0.2511638664632707
252,all,10,ret,cvol_chg5,False,0.2624455148190359,0.01615029818948093,266,0.17167901505579042,0.2624455148190359
126,all,10,ret,cvol_chg5,False,0.2624455148190359,0.01615029818948093,266,0.17167901505579042,0.2624455148190359
126,all,10,rng,convexity,False,0.2640991254213997,0.016221345711348308,267,0.17135721718138927,0.2640991254213997
252,all,10,rng,convexity,False,0.2640991254213997,0.016221345711348308,267,0.17135721718138927,0.2640991254213997
126,FX,5,rng,vrp_trail20,False,0.2770685243042606,0.012045583599830323,531,0.12150965024876893,0.2770685243042606
252,FX,5,rng,vrp_trail20,False,0.2770685243042606,0.012045583599830323,531,0.12150965024876893,0.2770685243042606
252,FX,21,rng,skew,False,0.28671830481065574,0.025636436165922732,127,0.24845982263651187,0.28671830481065574
126,FX,21,rng,skew,False,0.28671830481065574,0.025636436165922732,127,0.24845982263651187,0.28671830481065574
252,all,21,rng,skew,False,0.2981175084608642,0.026654966512566734,127,0.24845982263651187,0.2981175084608642
126,all,21,rng,skew,False,0.2981175084608642,0.026654966512566734,127,0.24845982263651187,0.2981175084608642
252,FX,21,rng,skew,True,0.30360287797699553,0.027145060425178558,127,0.24845982263651187,0.30360287797699553
126,FX,21,rng,skew,True,0.30360287797699553,0.027145060425178558,127,0.24845982263651187,0.30360287797699553
126,all,10,rng,skew,True,0.3151351272759174,0.0193549706338687,267,0.17135721718138927,0.3151351272759174
252,all,10,rng,skew,True,0.3151351272759174,0.0193549706338687,267,0.17135721718138927,0.3151351272759174
126,all,5,rng,cvol_z,False,0.31527972655951114,0.013986907527288718,510,0.12398608397561334,0.31527972655951114
126,FX,21,ret,skew_ratio,True,0.31662106734594697,0.028308100039193727,127,0.24845982263651187,0.31662106734594697
252,FX,21,ret,skew_ratio,True,0.31662106734594697,0.028308100039193727,127,0.24845982263651187,0.31662106734594697
126,FX,21,ret,updn,True,0.316654357683153,0.02831107403869748,127,0.24845982263651187,0.316654357683153
252,FX,21,ret,updn,True,0.316654357683153,0.02831107403869748,127,0.24845982263651187,0.316654357683153
126,all,5,rng,vrp_trail20,False,0.3261067902922485,0.014177131146637077,531,0.12150965024876893,0.3261067902922485
252,all,5,rng,vrp_trail20,False,0.3261067902922485,0.014177131146637077,531,0.12150965024876893,0.3261067902922485
