position_id,bot,magic,account,ticket,symbol,direction,lots,open_price,close_price,pnl,swap,commission,net,result,time_open,time_close,session,day_of_week,comment,eng_regime,eng_conf,eng_score,eng_vol_z,eng_run_len,eng_decay,eng_bocpd,eng_consensus,eng_slope,eng_1h_regime,eng_exhaustion,eng_exit_type,eng_sig,eng_grade,eng_stars,eng_rr,eng_dist_pips,eng_vu_signal,eng_vu_mf,eng_vu_vwap,eng_vu_conf,eng_htf_bias,eng_zone_score,eng_composition,eng_close_reason
152133226166,RegimeV1,20260002,10011043879,152133226166,EURUSD,BUY,5.0,1.16177,1.16305,475.57,0.0,0.0,475.57,WIN,2026-06-01T18:11:46+00:00,2026-06-01T21:59:58+00:00,ASIA_PRE,Monday,RegimeBot L,BULL,91.0,,-0.17,5,0.157,,,,,,regime_shift,,,,,,,,,,,,,
152133386050,RegimeV1,20260002,10011043879,152133386050,XAUUSD,BUY,1.17,4478.02,4470.27,-674.4,0.0,0.0,-674.4,LOSS,2026-06-01T18:34:55+00:00,2026-06-01T18:48:10+00:00,NY_CLOSE,Monday,RegimeBot L,BEAR,100.0,,-0.3,2,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152134075481,RegimeV1,20260002,10011043879,152134075481,XAUUSD,BUY,1.41,4495.46,4487.94,-787.49,0.0,0.0,-787.49,LOSS,2026-06-01T20:46:09+00:00,2026-06-01T20:58:31+00:00,NY_CLOSE,Monday,RegimeBot L,BEAR,99.0,,-0.47,18,0.108,,,,,,regime_shift,,,,,,,,,,,,,
152134136832,RegimeV1,20260002,10011043879,152134136832,XAUUSD,BUY,1.39,4488.25,4480.75,-774.7,0.0,0.0,-774.7,LOSS,2026-06-01T20:59:45+00:00,2026-06-01T22:52:30+00:00,ASIA_PRE,Monday,RegimeBot L,BEAR,100.0,,-1.15,21,0.044,,,,,,regime_shift,,,,,,,,,,,,,
152134373276,RegimeV1,20260002,10011043879,152134373276,USDJPY,BUY,5.0,159.691,159.636,-128.02,-0.23,0.0,-128.25,LOSS,2026-06-01T22:19:24+00:00,2026-06-02T00:00:30+00:00,ASIA,Tuesday,RegimeBot L,BULL,100.0,,-0.88,50,0.235,,,,,,regime_shift,,,,,,,,,,,,,
152134781211,RegimeV1,20260002,10011043879,152134781211,XAUUSD,BUY,2.19,4495.25,4490.42,-785.88,0.0,0.0,-785.88,LOSS,2026-06-02T03:32:57+00:00,2026-06-02T03:34:47+00:00,ASIA,Tuesday,RegimeBot L,BEAR,96.0,,-0.29,26,0.167,,,,,,regime_shift,,,,,,,,,,,,,
152134795925,RegimeV1,20260002,10011043879,152134795925,XAUUSD,BUY,2.03,4490.17,4485.05,-772.34,0.0,0.0,-772.34,LOSS,2026-06-02T03:38:55+00:00,2026-06-02T03:48:51+00:00,ASIA,Tuesday,RegimeBot L,BEAR,59.0,,-0.33,2,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152134818042,RegimeV1,20260002,10011043879,152134818042,XAUUSD,BUY,1.81,4481.03,4475.33,-766.81,0.0,0.0,-766.81,LOSS,2026-06-02T03:49:46+00:00,2026-06-02T04:01:19+00:00,ASIA,Tuesday,RegimeBot L,BEAR,100.0,,-0.02,12,0.138,,,,,,regime_shift,,,,,,,,,,,,,
152134878293,RegimeV1,20260002,10011043879,152134878293,XAUUSD,SELL,1.75,4484.99,4490.8,-755.36,0.0,0.0,-755.36,LOSS,2026-06-02T04:12:31+00:00,2026-06-02T04:14:01+00:00,ASIA,Tuesday,RegimeBot S,BEAR,100.0,,0.25,31,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152134957655,RegimeV1,20260002,10011043879,152134957655,XAUUSD,BUY,1.71,4482.19,4476.25,-755.03,0.0,0.0,-755.03,LOSS,2026-06-02T04:39:06+00:00,2026-06-02T04:47:09+00:00,ASIA,Tuesday,RegimeBot L,BULL,99.0,,0.3,21,0.048,,,,,,regime_shift,,,,,,,,,,,,,
