instrument,date,regime,hl_75_pct,oc_med_pct,side,filled,outcome,pnl_pct,open,high,low,close
EURUSD,2021-06-29 00:00:00+00:00,BEAR,0.6082,0.2123,,False,no_fill,0.0,1.1929,1.193,1.18778,1.19003
EURUSD,2021-06-30 00:00:00+00:00,BEAR,0.5994,0.2092,,False,no_fill,0.0,1.19001,1.1909,1.18451,1.18561
EURUSD,2021-07-01 00:00:00+00:00,BEAR,0.6046,0.2111,,False,no_fill,0.0,1.18562,1.18842,1.18374,1.18458
EURUSD,2021-07-02 00:00:00+00:00,BEAR,0.5875,0.2051,,False,no_fill,0.0,1.18456,1.18743,1.18075,1.18654
EURUSD,2021-07-04 00:00:00+00:00,BEAR,0.5744,0.2005,,False,no_fill,0.0,1.18665,1.18705,1.18557,1.18558
EURUSD,2021-07-05 00:00:00+00:00,BEAR,0.5581,0.1948,,False,no_fill,0.0,1.1856,1.18808,1.18514,1.18626
EURUSD,2021-07-06 00:00:00+00:00,BEAR,0.5417,0.1891,,False,no_fill,0.0,1.18624,1.18954,1.1807,1.18222
EURUSD,2021-07-07 00:00:00+00:00,BEAR,0.5471,0.191,,False,no_fill,0.0,1.18224,1.18361,1.17815,1.17931
EURUSD,2021-07-08 00:00:00+00:00,BEAR,0.5418,0.1891,,False,no_fill,0.0,1.1793,1.1868,1.17836,1.18465
EURUSD,2021-07-09 00:00:00+00:00,BEAR,0.5631,0.1965,,False,no_fill,0.0,1.18466,1.18814,1.1825,1.1877
EURUSD,2021-07-11 00:00:00+00:00,BEAR,0.558,0.1948,,False,no_fill,0.0,1.1876,1.1878,1.1866,1.18725
EURUSD,2021-07-12 00:00:00+00:00,BEAR,0.5412,0.1889,,False,no_fill,0.0,1.18724,1.18802,1.1836,1.18628
EURUSD,2021-07-13 00:00:00+00:00,BEAR,0.526,0.1836,BUY,True,win,0.3424,1.18628,1.18752,1.17721,1.17749
EURUSD,2021-07-14 00:00:00+00:00,BEAR,0.6095,0.2127,,False,no_fill,0.0,1.17747,1.18388,1.17719,1.18332
EURUSD,2021-07-15 00:00:00+00:00,BEAR,0.6311,0.2203,,False,no_fill,0.0,1.18334,1.18508,1.17962,1.18115
EURUSD,2021-07-16 00:00:00+00:00,BEAR,0.6174,0.2155,,False,no_fill,0.0,1.18114,1.18225,1.17922,1.18052
EURUSD,2021-07-18 00:00:00+00:00,BEAR,0.5991,0.2091,,False,no_fill,0.0,1.181,1.18139,1.18034,1.18125
EURUSD,2021-07-19 00:00:00+00:00,BEAR,0.5815,0.203,,False,no_fill,0.0,1.18126,1.18246,1.17638,1.1792
EURUSD,2021-07-20 00:00:00+00:00,BEAR,0.5691,0.1987,,False,no_fill,0.0,1.17918,1.18026,1.17556,1.17814
EURUSD,2021-07-21 00:00:00+00:00,BEAR,0.5533,0.1931,,False,no_fill,0.0,1.17812,1.18048,1.17518,1.17924
EURUSD,2021-07-22 00:00:00+00:00,BEAR,0.538,0.1878,,False,no_fill,0.0,1.17926,1.18306,1.17574,1.17724
EURUSD,2021-07-23 00:00:00+00:00,BEAR,0.5272,0.184,,False,no_fill,0.0,1.17726,1.17866,1.17544,1.17717
EURUSD,2021-07-25 00:00:00+00:00,BEAR,0.5111,0.1784,,False,no_fill,0.0,1.17735,1.17749,1.17693,1.17732
EURUSD,2021-07-26 00:00:00+00:00,BEAR,0.4956,0.173,,False,no_fill,0.0,1.1773,1.18174,1.17635,1.18049
EURUSD,2021-07-27 00:00:00+00:00,BEAR,0.4954,0.1729,,False,no_fill,0.0,1.18048,1.18412,1.17701,1.18204
