combo,ic_select,n_select
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng+usd_basket+nas_rvol,0.30123022525457577,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+eurusd_skew,0.30117631525794847,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng+usd_basket+eurusd_skew,0.30115451508411156,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo,0.30111908184645153,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+usd_basket+nas_rvol,0.30110551287003307,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+usd_basket+nas_rvol,0.3010100732561631,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+eurusd_skew,0.3009967432928923,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+usd_basket+eurusd_skew,0.3009778072552575,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+usd_basket+nas_rvol,0.30088503517094695,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+eurusd_skew,0.3008319103727062,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+eurusd_skew,0.3007581419388181,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+hangseng+usd_basket,0.30048799052280706,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+usd_basket,0.30046971267648886,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+usd_basket+eurusd_skew,0.3003170365224088,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+nas_rvol+eurusd_skew,0.30022167768182406,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+usd_basket+eurusd_skew,0.30020702758472806,12367
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+eurusd_skew,0.30019949859802436,12367
