combo,ic_select
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo +hy_oas,0.2786086108555569
leg_discretionary_staples_yahoo -smallcap_largecap_oanda +real10,0.27846330757083954
jordan_composite_yahoo -xauusd_skew -nzdjpy,0.2783882744847157
vix -eurusd_cvol -slope_2s10s,-0.27815126993624634
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo +real10,0.27809271548067116
jordan_composite_yahoo -slope_5s30s +slope_2s30s,0.27796495521556513
vix -slope_2s30s +nfci,-0.2778969742861691
leg_hy_ig_credit_yahoo +hy_oas -nzdjpy,0.2778944363557969
leg_hy_ig_credit_yahoo -nzdjpy +real10,0.27786748991216237
jordan_composite_yahoo +nas_rvol -xauusd_skew,0.27786053416414214
jordan_composite_yahoo +eurusd_cvol +slope_2s10s,0.2777698980439551
oil -leg_hy_ig_credit_yahoo -slope_2s10s,-0.27772596502475005
jordan_composite_yahoo +leg_hy_ig_credit_yahoo -usd_basket,0.27760614632738245
vix -nas_rvol +nzdjpy,-0.2770810722100982
fwd5y5y +leg_hy_ig_credit_yahoo +slope_2s10s,0.27704668084948914
jordan_composite_yahoo +oil_gold_ratio_oanda -smallcap_largecap_oanda,0.27704484941879953
jordan_composite_yahoo -vix +be10,0.27648900006550414
jordan_composite_yahoo +nas_rvol +hy_oas,0.2764401948734824
jordan_composite_yahoo +copper_gold_ratio_yahoo +leg_hy_ig_credit_yahoo,0.27642160373466484
jordan_composite_yahoo +hy_oas -nfci,0.2762702239131086
vix -slope_2s30s -hy_oas,-0.2761186411203174
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo -nfci,0.2759855761215672
jordan_composite_yahoo -nfci -leg_smallcap_largecap_yahoo,0.27597339092727796
fwd5y5y +slope_2s30s +leg_hy_ig_credit_yahoo,0.27566008612182585
jordan_composite_yahoo -nzdjpy +be10,0.2756194475381493
leg_hy_ig_credit_yahoo +slope_2s10s,0.2754813042077685
leg_discretionary_staples_yahoo +jordan_composite_yahoo +nas_rvol,0.27541701521948225
leg_hy_ig_credit_yahoo +slope_2s10s +real10,0.2754130178996237
slope_2s30s +leg_hy_ig_credit_yahoo -nzdjpy,0.27540782663992436
jordan_composite_yahoo +nas_rvol,0.27537844803126715
vix -slope_2s10s +nfci,-0.27531399542231133
vix -xauusd_cvol -hy_oas,-0.27525201743277156
jordan_composite_yahoo +leg_hy_ig_credit_yahoo,0.2752369250655942
jordan_composite_yahoo +copper_gold_ratio_yahoo +slope_2s30s,0.2751623055613852
hy_oas +slope_2s10s -nfci,0.27503355390955414
jordan_composite_yahoo -smallcap_largecap_oanda +hy_oas,0.27492835194417153
jordan_composite_yahoo +nas_rvol -nfci,0.27482454694288755
oil_gold_ratio_oanda -leg_hy_ig_credit_yahoo -slope_2s10s,-0.2748071020620329
jordan_composite_yahoo +xauusd_cvol +nikkei,0.2748068350420062
vix -hy_oas -be10,-0.27475000779474473
vix +oil +smallcap_largecap_oanda,-0.27470322600018104
vix -eurusd_skew +smallcap_largecap_oanda,-0.27461442188814833
jordan_composite_yahoo +fwd5y5y +nas_rvol,0.2745988990457168
fwd5y5y +leg_hy_ig_credit_yahoo +slope_2s5s,0.2745061352528506
hy_oas +slope_2s5s +be10,0.27435261153084145
vix -copper_gold_ratio_yahoo -leg_hy_ig_credit_yahoo,-0.27394731406213896
xauusd_cvol -smallcap_largecap_oanda +leg_smallcap_largecap_yahoo,0.27360657911949604
leg_hy_ig_credit_yahoo +slope_2s5s +real10,0.2735623147571367
fwd5y5y +leg_hy_ig_credit_yahoo +hy_oas,0.27348835037342306
eurusd_skew -smallcap_largecap_oanda +leg_hy_ig_credit_yahoo,0.2733302996075274
jordan_composite_yahoo +hy_oas -ig_oas,0.2732932238734541
jordan_composite_yahoo +xauusd_cvol +ftse,0.27322631606193376
xauusd_cvol +slope_2s10s +real10,0.27305356118368146
vix -nas_rvol -real10,-0.2725603170456358
vix -eurusd_cvol -slope_2s30s,-0.2724814750928568
vix -real10 +leg_smallcap_largecap_yahoo,-0.2724218252550755
vix +oil -slope_2s10s,-0.2723957821465882
vix +smallcap_largecap_oanda +audjpy,-0.27225908371720653
jordan_composite_yahoo +leg_hy_ig_credit_yahoo -leg_smallcap_largecap_yahoo,0.27197579629886115
leg_hy_ig_credit_yahoo -nfci -nzdjpy,0.2719710475054149
jordan_composite_yahoo -leg_smallcap_largecap_yahoo +be10,0.2718647598992459
vix -eurusd_skew -leg_hy_ig_credit_yahoo,-0.27154254920529647
slope_5s30s +leg_hy_ig_credit_yahoo -nfci,0.27147402128937964
copper_gold_ratio_yahoo +leg_hy_ig_credit_yahoo +slope_2s10s,0.27141528104414003
vix +xauusd_skew +nzdjpy,-0.27138388154669
leg_hy_ig_credit_yahoo +ig_oas +be10,0.271339637148124
jordan_composite_yahoo -vix +slope_2s5s,0.2710551372322768
jordan_composite_yahoo +eurusd_cvol +slope_2s30s,0.2709886643669954
nas_rvol +slope_2s30s +leg_hy_ig_credit_yahoo,0.27086247889208004
leg_discretionary_staples_yahoo -vix +slope_2s10s,0.2708288616165761
jordan_composite_yahoo -xauusd_skew +real10,0.2707160851254126
fwd5y5y +leg_hy_ig_credit_yahoo +real10,0.2707027878365778
vix -leg_hy_ig_credit_yahoo +nfci,-0.2706987912515522
hy_oas -nfci +real10,0.2706715789115807
vix -leg_hy_ig_credit_yahoo -usb05y,-0.270645342123648
vix +hy_ig_oas_diff +smallcap_largecap_oanda,-0.2705062625419041
jordan_composite_yahoo +xauusd_cvol -audjpy,0.27043898348117085
jordan_composite_yahoo +em_fx_basket +leg_hy_ig_credit_yahoo,0.2704344563266131
fwd5y5y +leg_hy_ig_credit_yahoo -nfci,0.27040107288007864
jordan_composite_yahoo -nfci +slope_2s5s,0.2701724192891001
jordan_composite_yahoo -smallcap_largecap_oanda -ig_oas,0.27014385900300275
vix -slope_2s5s -real10,-0.27012199189059094
leg_hy_ig_credit_yahoo +hy_oas +slope_2s5s,0.27007902171277787
vix -nas_rvol,-0.26996036201764206
leg_discretionary_staples_yahoo +fwd5y5y +leg_hy_ig_credit_yahoo,0.2699170450882215
vix -slope_2s5s -be10,-0.2697471567618906
jordan_composite_yahoo +slope_2s30s -xauusd_skew,0.2697175736464784
vix -nas_rvol -hy_oas,-0.26955016170541485
em_fx_basket +xauusd_cvol +leg_hy_ig_credit_yahoo,0.2694507165817809
leg_discretionary_staples_yahoo +jordan_composite_yahoo +real10,0.2692889892514555
leg_discretionary_staples_yahoo +xauusd_cvol +slope_2s5s,0.2691566705663612
vix -slope_2s30s -slope_2s5s,-0.2691414115139659
slope_2s30s +leg_hy_ig_credit_yahoo +slope_2s5s,0.26913717372316204
jordan_composite_yahoo -eurusd_skew +xauusd_cvol,0.2691293635636289
jordan_composite_yahoo +slope_2s30s,0.2690999009369438
xauusd_cvol -smallcap_largecap_oanda -nzdjpy,0.26907029789478476
hy_ig_oas_diff -leg_hy_ig_credit_yahoo -hy_oas,-0.26893393532697524
vix +nzdjpy,-0.2688844372275269
leg_hy_ig_credit_yahoo -usd_basket +slope_2s10s,0.2688830676353206
fwd5y5y +xauusd_cvol -smallcap_largecap_oanda,0.26883797552368305
vix -leg_hy_ig_credit_yahoo +gold,-0.2688038045416983
jordan_composite_yahoo +eurusd_cvol +leg_hy_ig_credit_yahoo,0.2686765403882526
jordan_composite_yahoo -xauusd_skew -nfci,0.26812267420644215
leg_discretionary_staples_yahoo -smallcap_largecap_oanda +slope_2s5s,0.26797118497004513
nas_rvol +leg_hy_ig_credit_yahoo -nzdjpy,0.2677941724979617
fwd5y5y -smallcap_largecap_oanda +real10,0.2676885074798173
xauusd_cvol +real10 +be10,0.2676182218393809
xauusd_cvol +slope_2s30s -nfci,0.26726870186109836
nas_rvol +leg_hy_ig_credit_yahoo +be10,0.26722635181796733
jordan_composite_yahoo +hy_oas +slope_2s5s,0.2672047577300561
xauusd_cvol +leg_hy_ig_credit_yahoo -gold,0.2669198466983988
vix -leg_hy_ig_credit_yahoo -usb10y,-0.2668928218826063
xauusd_cvol +leg_hy_ig_credit_yahoo -xauusd_skew,0.26687363003716
jordan_composite_yahoo +xauusd_cvol -ig_oas,0.2668420104767202
vix -leg_hy_ig_credit_yahoo -usb02y,-0.2667907888131407
fwd5y5y +leg_hy_ig_credit_yahoo +be10,0.2667422583301646
leg_hy_ig_credit_yahoo -xauusd_skew +slope_2s10s,0.2666563711146221
jordan_composite_yahoo +eurusd_skew -smallcap_largecap_oanda,0.2666499883459321
vix -hy_oas -real10,-0.26624756831283863
jordan_composite_yahoo +copper_gold_ratio_yahoo +hy_oas,0.26619818482768626
leg_discretionary_staples_yahoo +slope_2s30s +real10,0.26609266856842506
jordan_composite_yahoo +real10 +be10,0.2660685806622487
jordan_composite_yahoo +ig_oas +be10,0.26595215909820086
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo +usd_basket,-0.26595075904273613
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +ig_oas,0.2658934758850489
vix -slope_2s30s -slope_2s10s,-0.26576723882879366
jordan_composite_yahoo -hy_ig_oas_diff +hy_oas,0.26557095288320365
leg_discretionary_staples_yahoo +slope_2s10s +real10,0.26553191047615216
leg_discretionary_staples_yahoo +jordan_composite_yahoo -nzdjpy,0.2652625070036272
vix -hy_oas +nzdjpy,-0.2652380108523673
jordan_composite_yahoo -smallcap_largecap_oanda -usd_basket,0.2652167496000398
