lag_h,train_level_corr,n,key
36,0.07304003104755967,45801,vix
39,0.07373157942556142,45789,vix
42,0.07410250372591559,45777,vix
45,0.07421484871171558,45765,vix
48,0.0738295229218505,45753,vix
51,0.07343112122821513,45744,vix
54,0.07327642977626271,45744,vix
57,0.07313581427323733,45744,vix
60,0.07297448706609926,45744,vix
3,-0.8887170453067519,45928,nfci
6,-0.8884034753117619,45917,nfci
9,-0.8880893788738549,45905,nfci
12,-0.8877657762337312,45893,nfci
15,-0.887424903755992,45881,nfci
18,-0.8870724967091571,45869,nfci
21,-0.886712241374518,45857,nfci
24,-0.8867146095465672,45845,nfci
27,-0.8866756287288496,45836,nfci
30,-0.8866307660811922,45825,nfci
33,-0.8865830792963266,45813,nfci
36,-0.886534142234747,45801,nfci
39,-0.8864852584152128,45789,nfci
42,-0.8864359199876152,45777,nfci
45,-0.88638331047261,45765,nfci
48,-0.8863361222770735,45753,nfci
51,-0.88629320643411,45744,nfci
54,-0.8862777234802923,45744,nfci
57,-0.8862620390898508,45744,nfci
60,-0.8862461461601349,45744,nfci
3,0.8816972419601348,45928,dax
6,0.8812205368864379,45917,dax
9,0.8807212758772521,45905,dax
12,0.8802857252658571,45893,dax
15,0.8799396891934458,45881,dax
18,0.8796043124158787,45869,dax
21,0.8792573695939991,45857,dax
24,0.8789853507946696,45845,dax
27,0.8787282642000183,45836,dax
30,0.878467001020622,45825,dax
33,0.8782148768651887,45813,dax
36,0.878017653549936,45801,dax
39,0.877876676807749,45789,dax
42,0.8778252165600087,45777,dax
45,0.8777624842501861,45765,dax
48,0.877764000917711,45753,dax
51,0.8777389667943003,45744,dax
54,0.8776872002749461,45744,dax
57,0.8775780601538562,45744,dax
60,0.8774272242980695,45744,dax
3,0.8891052885631627,45928,ftse
6,0.8884055207991933,45917,ftse
9,0.8876709247908133,45905,ftse
12,0.8870230907132104,45893,ftse
15,0.886386177116851,45881,ftse
18,0.8858054805789212,45869,ftse
21,0.8852280100759679,45857,ftse
24,0.8847116557963641,45845,ftse
27,0.884306966259679,45836,ftse
30,0.8840377692926723,45825,ftse
33,0.8837728217541632,45813,ftse
36,0.8834804834825796,45801,ftse
39,0.883099147039768,45789,ftse
42,0.882803102905345,45777,ftse
45,0.8824793256077205,45765,ftse
48,0.8821810804559784,45753,ftse
51,0.8818910070294318,45744,ftse
54,0.8818007224699432,45744,ftse
57,0.8816976237801231,45744,ftse
60,0.8815397464913238,45744,ftse
3,0.84690527177994,45928,nikkei
6,0.8461757869670372,45917,nikkei
9,0.8453728843423786,45905,nikkei
12,0.8443062654235824,45893,nikkei
15,0.8432298218443293,45881,nikkei
18,0.8420587785328126,45869,nikkei
21,0.8412008640640195,45857,nikkei
24,0.8403642723599138,45845,nikkei
27,0.8395583797329722,45836,nikkei
30,0.838910672762352,45825,nikkei
33,0.838277827061579,45813,nikkei
36,0.8374685022469598,45801,nikkei
39,0.8366402917015162,45789,nikkei
42,0.8357246022960914,45777,nikkei
45,0.8348492533003227,45765,nikkei
48,0.8338948805155333,45753,nikkei
51,0.8328937343369885,45744,nikkei
54,0.8322234461150498,45744,nikkei
57,0.8316481751809188,45744,nikkei
60,0.8309940387979776,45744,nikkei
3,0.7180919262463938,45928,hangseng
6,0.7174011234350999,45917,hangseng
9,0.716702984518255,45905,hangseng
12,0.7160753524275638,45893,hangseng
15,0.7154040445372102,45881,hangseng
18,0.7147545454298908,45869,hangseng
21,0.7142141231471573,45857,hangseng
24,0.713484875293946,45845,hangseng
27,0.7127583377739112,45836,hangseng
30,0.7121154572611611,45825,hangseng
33,0.7113779061398081,45813,hangseng
36,0.7106939981947615,45801,hangseng
39,0.7100050273866488,45789,hangseng
42,0.7092805644183486,45777,hangseng
45,0.708769134256632,45765,hangseng
48,0.7081045626770801,45753,hangseng
51,0.7074225125800124,45744,hangseng
54,0.7066706920141597,45744,hangseng
57,0.7058920201743252,45744,hangseng
60,0.7051185280190926,45744,hangseng
