combo,target_lag_h,ic_select,n_select
vix+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.15788062437239975,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.15763720071899384,12368
vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.15753858107321103,12368
vix+copper_gold_ratio_yahoo+hangseng,3,0.1573673627164988,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.15733365344046465,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.15730880938019426,12368
vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.1571800011972513,12368
vix+copper_gold_ratio_yahoo+usd_basket,3,0.15681020996395387,12368
vix+copper_gold_ratio_yahoo,3,0.15651517413769633,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.15642231740183904,12368
jordan_composite_yahoo+hy_ig_oas_diff+usd_basket,6,0.1545478488152951,12368
vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.15445621970870824,12368
vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.15440309045314363,12368
vix+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.15384434074139614,12368
vix+hy_ig_oas_diff+hangseng+usd_basket,3,0.15365400515660646,12368
vix+hangseng+leg_hy_ig_credit_yahoo,3,0.1536430896404752,12368
vix+hy_ig_oas_diff+hangseng,3,0.15352392844842438,12368
vix+hangseng+usd_basket,3,0.15287287219664214,12368
vix+hangseng,3,0.15256449589856907,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo,3,0.14311202664976888,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.14166138618725935,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.14099441026232362,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.14066924420585045,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.14009970776217734,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.13929314383623495,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.13890145113349606,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.1384181735265401,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.1363174467003799,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng,3,0.13606675910126814,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.13529058891066914,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.13519723989477644,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.13510394992581584,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.1350254248173697,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.13410074815354842,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.133887890006957,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+hangseng,3,0.1322952667727373,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hangseng,3,0.13202032590189136,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+hangseng+usd_basket,3,0.13082022134967033,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hangseng+usd_basket,3,0.1307221489883282,12368
