time,entry_time,day,r,direction,sl_atr,tp_r,cell,r_bench,r_excess,fold
2020-11-17 00:00:00+00:00,2020-11-17 00:15:00+00:00,2020-11-17 00:00:00+00:00,0.7882257402629406,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9749598706015946,0
2020-11-17 01:15:00+00:00,2020-11-17 01:30:00+00:00,2020-11-17 00:00:00+00:00,-1.2117742597370593,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0250401293984053,0
2020-11-17 02:15:00+00:00,2020-11-17 02:30:00+00:00,2020-11-17 00:00:00+00:00,-1.21389200233443,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.027157871995776,0
2020-11-18 01:30:00+00:00,2020-11-18 01:45:00+00:00,2020-11-18 00:00:00+00:00,0.8120610972652452,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9987952276038993,0
2020-11-25 00:00:00+00:00,2020-11-25 00:15:00+00:00,2020-11-25 00:00:00+00:00,0.8211825826814186,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0079167130200728,0
2020-11-25 01:00:00+00:00,2020-11-25 01:15:00+00:00,2020-11-25 00:00:00+00:00,-1.180605591491767,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.993871461153113,0
2020-11-26 00:00:00+00:00,2020-11-26 00:15:00+00:00,2020-11-26 00:00:00+00:00,-1.2076014701863145,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0208673398476604,0
2020-11-27 00:00:00+00:00,2020-11-27 00:15:00+00:00,2020-11-27 00:00:00+00:00,-1.2362698382271164,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0495357078884624,0
2020-11-27 05:30:00+00:00,2020-11-27 05:45:00+00:00,2020-11-27 00:00:00+00:00,-1.297029702970297,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.110295572631643,0
2020-12-01 01:00:00+00:00,2020-12-01 01:15:00+00:00,2020-12-01 00:00:00+00:00,-1.2035109010747127,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0167767707360587,0
2020-12-02 05:15:00+00:00,2020-12-02 05:30:00+00:00,2020-12-02 00:00:00+00:00,0.7613674633906125,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9481015937292665,0
2020-12-03 02:45:00+00:00,2020-12-03 03:00:00+00:00,2020-12-03 00:00:00+00:00,-1.2096774848881777,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0229433545495237,0
2020-12-04 00:00:00+00:00,2020-12-04 00:15:00+00:00,2020-12-04 00:00:00+00:00,-1.2225768753361372,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0358427449974832,0
2020-12-04 01:45:00+00:00,2020-12-04 02:00:00+00:00,2020-12-04 00:00:00+00:00,0.7774231246638628,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9641572550025168,0
2020-12-11 13:45:00+00:00,2020-12-11 14:00:00+00:00,2020-12-11 00:00:00+00:00,-1.1274920514751425,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9407579211364885,0
2020-12-21 11:30:00+00:00,2020-12-21 11:45:00+00:00,2020-12-21 00:00:00+00:00,0.9401507514456091,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.1268848817842632,0
