Date,Pair,Bot,Dir,Lots,Entry,Close,PnL,Swap,Net,Opened,Closed,Duration
06-10,USDCHF,Regime V2,BUY,2.72,0.79769,0.79696,-185.75,0.00,-185.75,2026-06-10 16:25 UTC,2026-06-10 16:35 UTC,9m
06-10,USDJPY,Regime V2,BUY,3.37,160.41200,160.39300,-29.77,0.00,-29.77,2026-06-10 16:15 UTC,2026-06-10 16:37 UTC,21m
06-10,EURUSD,Regime V2,SELL,2.82,1.15575,1.15682,-224.93,0.00,-224.93,2026-06-10 16:22 UTC,2026-06-10 16:38 UTC,16m
06-10,USDCHF,Regime V2,BUY,3.02,0.79709,0.79679,-84.76,0.00,-84.76,2026-06-10 16:36 UTC,2026-06-10 16:39 UTC,3m
06-10,AUDJPY,Regime V2,BUY,2.83,112.55300,112.82100,+352.41,0.00,+352.41,2026-06-10 16:13 UTC,2026-06-10 16:45 UTC,31m
06-10,USDCAD,Regime V2,SELL,3.00,1.39120,1.39180,-96.43,0.00,-96.43,2026-06-10 16:33 UTC,2026-06-10 16:56 UTC,22m
06-10,EURJPY,Regime V2,BUY,2.53,185.55100,185.44200,-128.23,0.00,-128.23,2026-06-10 16:44 UTC,2026-06-10 17:00 UTC,15m
06-10,USDCHF,Regime V2,SELL,3.13,0.79678,0.79756,-228.33,0.00,-228.33,2026-06-10 16:43 UTC,2026-06-10 17:01 UTC,18m
06-10,EURCHF,Regime V2,BUY,3.00,0.92185,0.92198,+36.47,0.00,+36.47,2026-06-10 16:18 UTC,2026-06-10 17:03 UTC,44m
06-10,USDJPY,Regime V2,SELL,2.60,160.35600,160.40100,-54.39,0.00,-54.39,2026-06-10 16:46 UTC,2026-06-10 17:03 UTC,16m
06-10,EURJPY,Regime V2,BUY,3.42,185.43300,185.46400,+49.29,0.00,+49.29,2026-06-10 17:00 UTC,2026-06-10 17:07 UTC,6m
06-10,EURUSD,Regime V2,BUY,2.75,1.15666,1.15625,-84.08,0.00,-84.08,2026-06-10 16:41 UTC,2026-06-10 17:10 UTC,28m
06-10,USDCHF,Regime V2,SELL,3.10,0.79740,0.79696,+127.57,0.00,+127.57,2026-06-10 17:02 UTC,2026-06-10 17:14 UTC,12m
06-10,GBPJPY,Regime V2,BUY,2.73,215.17600,215.01200,-208.23,0.00,-208.23,2026-06-10 16:41 UTC,2026-06-10 17:15 UTC,34m
06-10,USDCAD,Regime V2,SELL,3.10,1.39154,1.39236,-136.17,0.00,-136.17,2026-06-10 16:59 UTC,2026-06-10 17:16 UTC,17m
06-10,GBPUSD,Regime V2,BUY,2.90,1.34160,1.34071,-192.51,0.00,-192.51,2026-06-10 16:42 UTC,2026-06-10 17:17 UTC,34m
06-10,XAUUSD,Regime V2,BUY,0.26,4177.80000,4169.00000,-170.69,0.00,-170.69,2026-06-10 16:47 UTC,2026-06-10 17:18 UTC,30m
06-10,GBPCHF,Regime V2,BUY,2.60,1.06899,1.06906,+17.02,0.00,+17.02,2026-06-10 16:27 UTC,2026-06-10 17:21 UTC,54m
06-10,AUDUSD,Regime V2,BUY,3.08,0.70076,0.70270,+445.73,0.00,+445.73,2026-06-10 15:13 UTC,2026-06-10 17:24 UTC,2h 10m
06-10,NZDUSD,Regime V2,BUY,3.07,0.58053,0.58273,+503.83,0.00,+503.83,2026-06-10 15:12 UTC,2026-06-10 17:25 UTC,2h 12m
